"year","counts","time_length","excesses"
1965,0,333,NA
1966,2,272,1000.93174672504,994.177154553564
1967,3,310,1231.08165280883,962.943609879875,1102.78671798017
1968,2,167,1152.28283430388,1003.55863209917
1969,2,353,1161.04638404522,1003.58685981522
1970,2,350,997.651303771876,1063.4835398823
1971,3,346,965.44886439468,1008.03433329531,1042.78236568952
1972,6,357,965.164085117599,1209.14549266864,1008.69225504734,960.533363750428,973.178510322801,1137.8046081898
1973,3,365,1067.40344473594,1204.38451009467,1011.3823428767
1974,2,304,974.648910687807,979.634891915605
1975,0,365,NA
1976,3,364,1078.20164674369,993.085261338645,978.91884181087
1977,3,361,984.386618701483,963.617370383929,993.954491768156
1978,4,334,997.94379403901,1371.77976985742,965.752052280141,1004.81244557034
1979,2,358,1224.24965328107,978.71332386394
1980,2,362,994.930036625176,1017.74605122538
1981,3,365,964.716550701494,1024.23269077221,1013.06148055207
1982,2,360,1008.88992813961,1065.47199897399
1983,3,365,997.817121572793,976.486711531881,1044.22253906696
1984,1,360,1019.39531255366
1985,2,365,1023.53686610676,996.038439603057
1986,3,365,993.778373445877,975.749629291662,977.177141553553
1987,4,365,1309.63647770047,974.256416105851,1102.9831185126,1038.71255845785
1988,0,366,NA
1989,1,365,978.263145887989
1990,3,365,987.093304437094,1020.28869624729,1036.2549332725
1991,3,365,963.214212387362,1850.81635679252,1010.08052925744
1992,1,366,1486.22416963463
1993,3,361,977.244473045147,1087.1977067625,1209.96698171414
1994,1,324,976.691630967019
1995,1,363,1214.64640127752
1996,3,366,1071.20132314361,1018.85536671609,1028.91981293487
1997,5,365,1109.71483973993,1032.31903729896,1091.39922436409,973.626440059313,970.56005475077
1998,3,365,1091.26599749059,1058.77711874073,1017.72407893236
1999,1,332,955.726264398966
2000,1,276,7548.03901795303
2001,2,365,959.809406911626,1306.50601035887
2002,5,365,1127.60031937949,1037.11919698871,1040.7111896886,1185.98505760237,972.572373674005
2003,2,365,1170.28823999087,1075.60972474743
2004,0,324,NA
2005,4,347,1271.17625018086,969.666980042858,1157.98145477766,956.296978442268
2006,2,355,1127.45769476484,1040.41617543098
2007,2,365,1068.60693509752,1283.07300102658
2008,5,366,1033.03661457739,956.555834378921,962.865632485457,1029.63339796966,964.26713813163
2009,3,365,976.798448728185,1093.06433215467,1050.86529029314
2010,7,365,1121.13368312992,992.591878635793,975.641382456941,964.840652446675,1007.68689403445,1041.08600433444,1109.56552982776
2011,1,365,1128.29953233717
2012,3,366,1102.04551157751,1162.24900193909,1050.46264400593
2013,2,365,1442.35314246607,1224.5298277632
2014,3,365,1361.29280255504,1219.99178738451,1073.77881704394
2015,1,349,1571.53437766901
2016,4,366,1056.2237937721,1200.59130831527,1002.28915250371,955.258013003308
2017,1,365,975.920497319494
2018,7,365,1576.02304094901,1276.80666134368,1403.728071176,1210.00079844873,1079.218204631,1025.77016083039,1084.77016083039
