"year","counts","time_length","excesses","excesses"
1994,2,337,897.750085548078,687.938291319722
1995,3,365,665.73286186837,666.143720771073,719.419185582297
1996,1,366,695.481806775408
1997,0,328,NA
1998,1,365,785.661001482833
1999,3,365,697.761720086689,895.664423405954,692.005018820577
2000,2,366,682.876924831755,720.730808714497
2001,4,365,669.595870879434,669.987110756245,682.31812478613,675.19915592563
2002,1,365,703.334093760694
2003,0,365,NA
2004,2,366,703.064902475191,673.026691000342
2005,4,365,904.289836888331,753.961446332839,762.364777004677,978.103798334664
2006,1,365,673.860271472568
2007,1,365,695.102315501312
2008,2,366,675.598038097411,813.01528458994
2009,1,365,694.918216037413
2010,1,365,785.842363408236
2011,0,365,NA
2012,1,366,816.037413026121
2013,1,365,678.961902589255
2014,0,365,NA
2015,3,365,780.937235768259,673.164679591688,721.526262801452
2016,2,354,794.415649595072,721.565643891867
2017,2,365,1333.04163339797,854.106421809057
2018,1,365,676.083951180563
