"year","counts","time_length","excesses"
1946,0,3,NA
1947,1,252,733.794614006764
1948,2,351,679.741859314732,694.849777574997
1949,3,365,785.383825710049,814.681533021558,697.219801528459
1950,2,365,721.927341165735,1267.7621763431
1951,1,365,903.774837458652
1952,0,208,NA
1953,5,365,675.141891558951,674.358009830728,926.807573856507,652.648112239078,678.952549332725
1954,0,365,NA
1955,1,365,688.562792289267
1956,1,366,837.831983574769
1957,4,365,867.563020417475,683.297136990989,687.635565187635,656.16516482263
1958,2,365,825.093076308886,698.845557203148
1959,2,365,840.599749058971,691.68723622676
1960,2,366,947.075852629178,757.008326679594
1961,1,365,676.478498916391
1962,1,365,705.444051556975
1963,4,365,683.296338542261,1094.93605272968,697.525859222314,665.697254857547
1964,0,30,NA
1965,4,364,655.505207078501,716.043488163276,741.858446446903,1045.08383711646
1966,4,365,704.372647427854,891.75864035588,657.372077107334,717.294741644804
1967,3,365,674.57705030227,709.425801300331,676.189118284476
1968,3,340,738.067650802684,1151.58846750167,666.182399291335
1969,4,365,667.852885401855,672.106079616745,669.396714953804,662.801072202578
1970,3,365,652.634310482491,671.398197787156,810.263374016197
1971,3,355,748.207889193907,654.202642245122,653.667795661342
1972,1,358,838.997790933437
1973,1,361,829.613043408217
1974,2,365,654.541690430022,949.073229154785
1975,1,327,753.557154948347
1976,3,344,816.475229961083,652.982587095792,686.190082316995
1977,1,365,652.620788373799
1978,2,340,744.661001482833,735.971817690362
1979,4,365,702.830146237311,656.290087120836,844.94515727026,720.406318442839
1980,0,360,NA
1981,3,365,668.852058857078,667.904072088514,766.03342078248
1982,5,365,656.491730352458,1412.20645602829,655.250941028858,657.647541918558,710.32519676058
1983,5,365,665.868141895745,707.082126154899,662.775864035588,759.566100148283,762.168130489335
1984,2,366,686.4305919927,673.589711417817
1985,4,365,1536.39238051785,1041.49230067298,755.839055549219,742.301357362838
1986,1,358,673.59789814471
1987,5,365,1018.63143299129,681.934273187484,663.542602942854,677.881487395917,704.644918444166
1988,4,355,730.261012867761,652.591763876776,801.883539854876,846.808941930843
1989,3,362,708.176672458564,690.278759831668,701.153631509551
1990,4,362,692.918703551182,704.474651994207,665.081738234892,688.071130273218
1991,2,362,679.482901688753,741.494650291468
1992,4,366,653.33626097867,680.117942283563,713.63681989278,929.023155013117
1993,5,359,664.823428766967,719.532337173491,1182.58184099464,725.311059190467,819.532001359966
1994,1,365,681.088970001141
1995,4,365,755.040606821033,772.225732861868,991.278886734345,686.191741758868
1996,1,366,1421.23707832291
1997,3,363,738.853480741066,669.271069425906,694.418615261777
1998,4,356,726.675259495837,927.493260271098,654.915525584204,792.95989652067
1999,2,365,930.667892414362,703.174289950952
2000,3,366,1109.26440059313,680.440287441542,668.320292004106
2001,2,365,1010.00262347439,656.003535987225
2002,2,365,707.295654157637,746.828219459336
2003,4,365,780.010722025778,668.580472225391,723.493783506331,697.958708794342
2004,7,366,660.311166875784,1118.12729554009,946.679023611269,705.606935097525,715.831869510665,745.246606592905,705.053838257101
2005,4,365,956.925744268279,695.076308885594,869.46401277518,667.63624957226
2006,4,336,759.321268752888,872.83632401079,690.957443389708,655.67081099578
2007,5,365,730.014372077107,966.851260408349,683.414394889928,719.949127409604,689.35382685069
2008,4,364,856.58938482923,893.972412090551,754.985073206098,671.913098756457
2009,2,357,684.968532879442,816.060354483183
2010,2,365,753.360556632828,652.533820006844
2011,4,365,694.250370708338,724.050758526292,888.854454203262,668.173035245808
2012,4,366,660.08440743698,690.443823428767,1000.80586289495,701.692369111441
2013,1,365,848.983346640812
2014,2,365,653.167788297023,666.386791376754
2015,1,365,726.951066499373
2016,4,366,705.046310026235,694.407779171895,894.153758412228,1004.64731379035
2017,4,365,931.452036044257,675.295540093533,653.390099235771,807.82833352344
2018,2,365,897.256302041747,900.256302041747
