"year","counts","time_length","excesses"
1983,0,30,NA
1984,0,79,NA
1985,3,264,694.374946785471,750.595483221119,706.949375882956
1986,1,323,666.636705828676
1987,1,365,732.110528116802
1988,1,366,1186.54123417361
1989,3,365,677.394758513873,705.306534208182,664.98749690922
1990,1,298,892.762562496079
1991,3,365,666.201665335919,763.926314588799,713.405611953918
1992,1,366,673.056803923805
1993,2,365,702.098095129462,1024.81247861298
1994,0,365,NA
1995,2,356,775.819437976839,772.447551126755
1996,2,366,994.536557545341,718.088057488309
1997,1,365,813.632143264515
1998,4,365,665.357933158435,643.2577848751,1205.17117555079,642.079966943328
1999,1,345,659.654735963517
2000,0,366,NA
2001,1,365,651.240447131288
2002,3,365,798.691342534505,830.108246834721,650.028401961903
2003,4,365,1063.25664423406,655.281510208737,653.127295540094,758.485913083153
2004,2,366,829.999657807688,712.220485913083
2005,3,365,931.366031709821,1185.35565187635,782.846583780084
2006,2,365,729.673434470173,641.521044827193
2007,0,365,NA
2008,4,366,730.935895973537,1397.08030112923,641.757157522527,662.778487509981
2009,2,365,725.766282650849,797.543401391582
2010,4,365,905.692825367857,893.493099121706,820.547165507015,651.142466065929
2011,1,365,645.308087144976
2012,0,366,NA
2013,1,365,638.171210220144
2014,0,365,NA
2015,2,365,683.265883426486,710.397627466637
2016,0,366,NA
2017,4,365,744.549104596784,803.802783164138,912.960533820007,753.567582981635
2018,1,365,775.200752823087
