"year","counts","time_length","excesses"
1975,0,310,NA
1976,1,366,988.124558001597
1977,2,359,1343.62505806292,1053.14952481323
1978,2,347,1009.85560260388,1424.49255471126
1979,1,365,1012.94743782533
1980,2,366,982.648796623702,1049.37538496635
1981,3,365,1008.61491958481,1167.67548762404,1182.76571233033
1982,2,365,1266.15102087373,1043.49538040379
1983,4,365,1173.94855708908,994.620736854112,1035.9774153074,1122.10003421923
1984,1,366,1035.7480587323
1985,3,358,1046.62144757683,1244.3485799019,1030.20634196418
1986,2,365,1106.30649024752,992.707539637277
1987,3,365,1226.81316299761,1042.0226987567,1013.16379605338
1988,3,366,1109.55366716094,1254.21478270788,1009.53165278887
1989,4,365,1102.33466408121,1084.3710505304,1062.34949241474,1093.95494467891
1990,0,365,NA
1991,2,365,1238.19128550245,1160.40629633854
1992,4,366,1159.40561195392,1003.2832211703,1283.10950153987,1222.41017451808
1993,4,365,1105.49686323714,1051.00958138474,1073.14714269419,1130.49629291662
1994,2,365,1022.52480894263,1182.0793886164
1995,1,365,990.573058058629
1996,1,364,1071.44249480746
1997,3,365,1128.12558457853,1026.1331128094,1234.9434242044
1998,4,365,1340.98665449983,1451.73959165051,1008.66351089312,1161.20428881031
1999,3,360,1079.82618747184,1259.62737373852,1234.99842426892
2000,3,366,1313.68229135931,1076.36648796624,1183.55286871222
2001,1,362,1086.47451441586
2002,0,365,NA
2003,3,365,1010.14862552755,1742.71518193225,986.565187635451
2004,1,366,1105.88719060112
2005,3,365,1039.59701152047,994.13824569408,1034.89608760123
2006,3,365,1181.55035930193,1431.19596213072,1585.54762176343
2007,2,365,1050.90909090909,999.334778145318
2008,4,366,1013.35964412,1111.6035131744,1269.9518649481,1091.32553895289
2009,4,365,1091.32109045283,1079.08748716779,1642.20029656667,1278.50268050644
2010,1,365,1085.04277403901
2011,2,365,1633.82479753622,1151.62370252082
2012,2,366,1034.03011292346,1554.39431960762
2013,2,365,1094.01072202578,1141.66647655983
2014,4,365,1075.89757043458,1045.55663282765,1000.30694650394,1011.0480209878
2015,2,360,1051.09045806562,1408.84681713942
2016,5,366,1151.59918396958,1004.22858969559,1049.48739591651,1292.44576251854,1098.44576251854
