"year","counts","time_length","excesses","excesses","excesses","excesses","excesses"
1897,5,237,1676.87760921638,1676.87760921638,1707.87760921638,1682.41416676172,1626.40390099236
1898,3,365,1637.55149994297,2051.5212729554,1553.1075624501
1899,2,365,1679.33352344017,1544.2691912855
1900,2,365,1624.78282194593,1623.93635222995
1901,3,365,1596.00832667959,1920.34800958138,1709.87658263944
1902,1,365,1523.57066271244
1903,1,365,1515.12444393749
1904,2,366,1513.11235314247,1526.29588228584
1905,2,365,1543.52788867343,1637.6629405726
1906,1,365,1694.59290521273
1907,2,365,1583.61685867458,1510.01243298734
1908,3,366,1531.8752138702,1596.81453176685,1503.68164708566
1909,1,365,1661.27877267024
1910,2,365,1925.55948443025,1543.87293258811
1911,1,365,1516.20234972054
1912,1,366,1567.57853313562
1913,1,365,1570.45363294171
1914,0,365,NA
1915,0,365,NA
1916,4,366,1595.45374700582,1533.87863579332,1625.51397285274,1593.48979126269
1917,1,365,1504.6827877267
1918,3,365,1576.04710847496,1606.4816927113,1587.01551271815
1919,2,365,1630.53302155812,1701.33249686324
1920,1,366,1535.43857647998
1921,1,365,1573.13858788639
1922,2,365,1634.70400365005,1624.9207254477
1923,2,365,1531.21375613095,1542.22002965667
1924,1,182,1580.91881743297
1925,0,0,NA
1926,0,0,NA
1927,0,0,NA
1928,0,0,NA
1929,0,0,NA
1930,0,0,NA
1931,0,0,NA
1932,0,0,NA
1933,0,0,NA
1934,0,0,NA
1935,0,0,NA
1936,0,0,NA
1937,0,0,NA
1938,0,0,NA
1939,0,0,NA
1940,0,0,NA
1941,0,0,NA
1942,0,0,NA
1943,0,0,NA
1944,0,0,NA
1945,0,0,NA
1946,0,0,NA
1947,0,0,NA
1948,0,0,NA
1949,0,0,NA
1950,0,0,NA
1951,0,0,NA
1952,0,0,NA
1953,0,0,NA
1954,0,0,NA
1955,0,0,NA
1956,0,0,NA
1957,0,0,NA
1958,0,0,NA
1959,0,0,NA
1960,0,0,NA
1961,0,0,NA
1962,0,0,NA
1963,0,0,NA
1964,0,0,NA
1965,0,0,NA
1966,0,0,NA
1967,0,0,NA
1968,0,0,NA
1969,0,0,NA
1970,0,0,NA
1971,0,0,NA
1972,0,0,NA
1973,0,0,NA
1974,0,0,NA
1975,0,0,NA
1976,0,0,NA
1977,0,0,NA
1978,0,0,NA
1979,0,0,NA
1980,0,0,NA
1981,0,0,NA
1982,0,0,NA
1983,0,0,NA
1984,0,0,NA
1985,2,364,1534.53928186633,1583.50861183985
1986,2,365,1523.04448500057,1547.90441428083
1987,0,365,NA
1988,1,355,1535.29605720988
1989,1,345,1613.79599863215
1990,2,365,1503.23417360557,1554.59906467435
1991,0,365,NA
1992,2,366,1610.36215353028,1663.3597581841
1993,2,365,1665.49777574997,1555.14845446429
1994,4,302,1509.46337348234,1572.17913581563,1603.44467704981,1505.73246078426
1995,0,178,NA
1996,0,158,NA
1997,3,296,1558.85630010031,1533.88719060112,1538.70742557317
1998,2,365,1546.40150564617,1605.80004562564
1999,3,365,1574.89300787042,1546.76126383027,1585.8754419984
2000,2,332,1505.03258787562,1505.19307606999
2001,4,356,1626.91912855025,1684.66704688035,1513.94513516596,1634.94581955059
2002,1,345,1593.37474944192
2003,1,327,1535.25919337981
2004,2,364,1829.61355366887,1520.56849834777
2005,1,365,1568.41657087358
2006,0,31,NA
2007,5,323,1520.00883765622,1582.84288714356,1555.24512375955,1650.19174175887,1579.04631002623
2008,5,366,1531.28413368313,1544.64708566214,1652.24215809285,1512.86369339569,1544.6656781111
2009,1,365,1661.29542602943
2010,2,365,1507.0001140641,1542.05634766739
2011,1,358,1651.67154146133
2012,6,366,1618.25173947759,1618.6684156496,1512.90179080643,1563.81145203604,1604.24307060568,1537.03239420554
2013,1,365,1518.19847154101
2014,0,365,NA
2015,2,365,1550.74552298392,1581.00615946162
2016,3,366,2166.46230181362,1503.39397741531,1660.19459336147
2017,2,365,2002.86323713927,1520.75373559941
2018,2,365,1609.19676057945,1668.92870993498
