"year","counts","time_length","excesses","excesses"
1947,2,115,1157.29980255118,1248.29980255118
1948,3,349,882.299802551177,890.386791376754,950.387133569066
1949,1,365,912.656438918672
1950,4,365,870.821033420782,840.012432987339,1428.44952663397,905.533934070948
1951,2,365,857.957910345614,1003.2208281054
1952,3,332,884.529371506787,852.575356375901,943.752726057663
1953,2,357,956.987338884453,1534.0651306034
1954,2,365,2207.07106193681,955.132428424775
1955,2,365,887.123189232349,1044.25960990076
1956,3,366,957.03627238508,1291.52560739135,890.917873845101
1957,1,365,928.648153957157
1958,8,353,954.558043314976,860.2669517215,1316.70780948356,1254.21972918243,947.113535501585,1025.84990643745,903.907115817076,842.354413713376
1959,2,188,945.588970910381,1013.56113784412
1960,5,366,970.557805857845,1275.18074383207,969.27641103468,908.698186380746,926.859183519291
1961,7,344,1061.11103706098,969.957963033378,1061.04356145277,1126.29381809701,882.869955886445,1246.09403916309,924.522692066024
1962,5,365,1228.781795369,902.936352229953,903.758754419984,842.261663054637,935.74985741987
1963,3,365,902.078590167674,963.40481350519,1085.56176571233
1964,2,366,906.333067183757,940.701037983347
1965,1,328,864.711762625702
1966,1,322,1078.79977867854
1967,7,234,929.519337860453,893.165433791395,1072.38261184546,1008.7860565814,857.562998111781,851.839427303082,932.357164271258
1968,2,341,1452.60887057822,915.718372118087
1969,2,319,890.529524077037,975.265450279642
1970,1,308,1056.48074458476
1971,3,229,893.224662437534,906.607107392234,895.095785036398
1972,6,135,1120.12229170842,1372.94405404219,954.616765558791,982.92084359432,1067.29240602114,1079.72421501537
1973,3,359,901.881615383594,847.123244449505,890.807520459392
1974,2,172,913.900546362599,954.032707693664
1975,2,365,890.648943753874,910.555136834011
1976,2,366,1044.23987681077,1070.54283107106
1977,5,288,1032.40611000725,1006.8008418417,974.879432009376,993.21580705215,839.891750932611
1978,5,365,1256.92106540735,941.338654092187,860.596324903182,1566.05942516553,1219.65290293145
1979,2,365,1190.76616858675,945.369453632942
1980,5,363,954.757101286814,968.136706625014,994.729383709536,989.3597581841,929.15353028402
1981,0,357,NA
1982,0,294,NA
1983,3,365,890.919470742557,887.082012090795,910.670468803468
1984,2,366,1123.12855024524,970.328960876012
1985,1,340,848.744200948654
1986,1,345,943.594813214163
1987,2,361,1188.12783477228,1276.49192739233
1988,1,364,1231.85112680349
1989,1,365,935.383597581841
1990,2,365,952.405252937854,966.599960363427
1991,2,301,1534.94205933178,873.276951541197
1992,1,360,1344.19133973437
1993,2,311,891.834655389203,976.695316171479
1994,1,299,1319.09036693912
1995,3,354,910.378949122304,888.765484202122,974.343218889016
1996,3,366,1064.69944108589,869.547051442911,917.019504961788
1997,3,365,972.80084407437,932.307630888559,941.530626211931
1998,3,365,887.918672293829,1020.61594616174,938.831185126041
1999,0,351,NA
2000,1,321,850.423177825938
2001,1,363,1034.66100148283
2002,5,365,1032.2089250813,853.371010173121,1125.05471041266,848.840041768878,923.308388980011
2003,3,328,909.844757912995,1009.12101472111,936.809766805439
2004,0,253,NA
2005,4,281,898.884843904624,968.325178075467,1091.17505197271,1008.8649463839
2006,1,206,1008.47976801199
2007,3,357,851.180077962086,1172.55238319763,1021.82970229269
2008,1,331,1036.74796506198
2009,2,365,950.613436751454,848.101859244896
2010,2,345,860.341139901708,1183.50071558324
2011,1,365,1055.18113379719
2012,5,366,1017.02897228242,956.771187407323,1655.09490133455,883.277403900992,1191.75715752253
2013,2,365,957.186951066499,911.569497088902
2014,3,348,980.16206010932,901.996780030549,841.353914740256
2015,1,365,846.81658372869
2016,2,366,918.201323143607,1000.31595756815
2017,3,335,1022.78703854083,894.419355099233,954.374306063067
2018,7,365,1057.29811124158,860.683145966504,1054.41256986426,848.011292346299,1099.67959393179,985.67959393179,935.67959393179
