"year","counts","time_length","excesses"
1910,0,302,NA
1911,0,154,NA
1912,1,365,2302.47606723713
1913,2,365,2318.16539295084,2171.89403444736
1914,4,365,2260.76023725334,2130.89642979354,2222.81396144633,2280.5099806091
1915,2,365,2218.46230181362,2258.7593247405
1916,2,366,2142.52891525037,2149.72909775294
1917,1,365,2237.95026805064
1918,3,365,2363.14794114292,2182.34435953006,2423.17155241246
1919,3,365,2237.20782479754,2358.4843161857,2365.51112125014
1920,0,366,NA
1921,0,365,NA
1922,1,365,2290.93121934527
1923,4,314,2117.31470286301,2119.95905098665,2123.66109783026,2121.9367212198
1924,0,366,NA
1925,1,365,2115.6855252652
1926,1,365,2159.66259838029
1927,1,365,2311.93372875556
1928,1,366,2267.45648454431
1929,2,365,2151.94114292232,2120.5864035588
1930,1,365,2204.57727843048
1931,4,365,2252.97342306376,2493.36443481236,2279.5864035588,2156.55081555834
1932,2,366,2140.30067297821,2228.2746663625
1933,3,365,2224.29417132428,2135.46332839056,2137.00162165539
1934,1,314,2114.46277890658
1935,0,305,NA
1936,1,314,2189.38858312478
1937,2,365,2234.14953804038,2113.76103570206
1938,1,365,2116.20771073343
1939,1,365,2120.84555720315
1940,3,366,2433.64161058515,2161.10664993726,2169.06980723166
1941,1,365,2163.0906809627
1942,1,365,2222.57533934071
1943,3,365,2156.80198471541,2121.38462415878,2168.99657807688
1944,2,366,2162.43504049276,2506.31801072203
1945,2,365,2490.35076419637,2181.93385989615
1946,3,244,2153.29932128545,2162.75134025322,2162.09592791149
1947,4,361,2239.50715955416,2240.76973512163,2147.40838004007,2139.00812909904
1948,0,366,NA
1949,1,347,2134.34553967368
1950,1,365,2293.76924831755
1951,2,365,2138.1501083609,2132.40139158207
1952,2,366,2159.62723850804,2161.95289152504
1953,3,365,2134.73423063762,2255.10357020646,2236.99019048705
1954,2,365,2190.28265084978,2310.6344245466
1955,5,365,2191.34721113266,2128.05794456485,2160.74814645831,2217.61001014448,2133.04791889359
1956,2,237,2256.48108395375,2172.81359255334
1957,0,326,NA
1958,2,365,2475.9661229611,2143.12157390049
1959,3,325,2124.370003745,2129.36418647569,2459.89471883198
1960,3,366,2179.61309455914,2118.20771073343,2321.44255582567
1961,4,258,2228.42019926128,2381.15671118098,2229.58034526333,2176.65608417289
1962,4,365,2123.29097752937,2178.61012889244,2160.9319037299,2163.91525037071
1963,4,365,2226.80631915136,2239.68415649595,2427.10950153987,2364.16619139957
1964,2,366,2123.02087373104,2198.49982890384
1965,0,365,NA
1966,4,365,2157.40333067184,2122.62130717463,2177.63761834151,2190.1757727843
1967,4,365,2225.25675829816,2287.50496178853,2147.13334093761,2163.11292346299
1968,2,366,2118.84281966465,2269.32245922208
1969,2,365,2168.19869966921,2241.49195848067
1970,2,264,2146.86636734839,2151.08188736074
1971,4,310,2135.47161600368,2110.46031899268,2170.05983992344,2160.299488606
1972,6,347,2222.66162352025,2430.73746364811,2198.05775565222,2251.46964113186,2308.57800203069,2256.90611504283
1973,2,365,2332.33523440173,2120.22869852857
1974,5,365,2119.50256644234,2248.97695905099,2157.98916391012,2144.37595528687,2283.55822972511
1975,2,365,2126.14896771986,2129.65678111098
1976,5,355,2163.62393064903,2489.59370366146,2119.90908142709,2127.8871798907,2275.99702362287
1977,7,356,2219.81166945383,2343.21739547185,2150.97421080207,2115.52032654682,2136.65176106199,2141.77848750998,2138.69761606023
1978,2,365,2595.52868712216,2632.46401277518
1979,5,356,2388.71622037528,2141.12719334209,2130.65576640015,2201.02783164138,2178.82787726702
1980,2,366,2178.35200182503,2167.19721683586
1981,3,365,2231.64526063648,2131.35108931219,2249.95665564047
1982,2,365,2326.22333751568,2125.14702863009
1983,2,365,2223.94376639671,2138.25470514429
1984,1,366,2133.36854112011
1985,2,365,2137.22550473366,2175.12216265541
1986,3,365,2121.1445192198,2131.93110528117,2345.11018592449
1987,2,365,2439.34025322231,2274.26268963157
1988,0,366,NA
1989,2,365,2162.23006729782,2123.02691912855
1990,5,306,2122.20816698985,2129.019328368,2172.86693872502,2218.12575017706,2508.72572736424
1991,2,365,2324.42534504391,2202.85616516482
1992,2,366,2119.16448043801,2159.31322002966
1993,2,365,2131.86928253679,2142.67480323942
1994,2,365,2295.48944907038,2145.4362951979
1995,5,365,2245.17075396373,2150.22641724649,2154.12125014258,2201.56416105852,2287.39717121022
1996,2,366,2117.13368312992,2149.54659518649
1997,2,365,2276.81932245922,2138.35462529942
1998,3,365,2111.6516482263,2110.39591650508,2111.69108427602
1999,0,325,NA
2000,3,366,2261.87625848538,2124.89985171666,2218.09433101403
2001,2,363,2112.37717141624,2200.85989070448
2002,3,365,2113.72784304779,2179.15638188662,2323.40234414977
2003,3,342,2300.25029669911,2113.07767765484,2180.25744268279
2004,2,366,2122.68495494468,2162.60111782822
2005,3,365,2266.41188547964,2176.8809170754,2258.80700353599
2006,1,365,2258.9717121022
2007,2,353,2447.40694724451,2239.4858796045
2008,3,364,2130.97540036449,2180.73502908635,2212.36671609445
2009,3,365,2149.37766624843,2187.10904528345,2159.13140184784
2010,6,365,2276.88547963956,2192.2718147599,2194.40903387704,2122.03923805179,2151.79092049732,2117.78339226645
2011,3,365,2264.82080529257,2154.67286414965,2147.64959507243
2012,1,366,2369.88844530626
2013,4,365,2123.78692825368,2256.65495608532,2118.33386563249,2202.97102771758
2014,2,365,2345.00547507699,2115.87065130603
2015,6,365,2174.62689631573,2219.92870993498,2119.52674803239,2159.31641382457,2141.37447245352,2139.38918672294
2016,7,366,2163.5099806091,2220.01300330786,2196.68381430364,2193.5183072887,2168.9942967948,2212.07699327022,2144.52537926315
2017,2,365,2306.88445306262,2254.50804151933
2018,6,365,2469.0311395004,2197.57271586632,2431.07573856507,2179.60180221284,2214.35553781225,2141.35553781225
