"year","counts","time_length","excesses"
1985,0,264,NA
1986,2,365,911.916505075853,668.822630318239
1987,1,365,666.92973651192
1988,2,366,860.220143720771,714.050644462188
1989,3,365,730.602714725676,1087.15911942512,648.276833580472
1990,3,365,627.359530055891,720.908748716779,800.615718033535
1991,4,276,624.076912272034,611.701059522212,659.999109026033,609.010515436436
1992,0,366,NA
1993,2,365,617.784875099806,713.95779628151
1994,0,365,NA
1995,2,365,699.541804494126,623.746663624957
1996,4,366,817.763316984145,609.821033420782,804.299304208965,630.317212273298
1997,3,365,759.970571461161,671.234629861983,727.485000570321
1998,2,353,625.865176229041,1054.80920651386
1999,0,365,NA
2000,0,366,NA
2001,2,356,625.570092391924,697.388363032963
2002,1,341,754.667503136763
2003,2,363,905.72355410302,726.299235636041
2004,2,366,615.640469944109,647.435274382982
2005,2,306,788.73773934029,664.071127964028
2006,1,365,909.637440329084
2007,2,358,779.722367970799,615.12125014258
2008,5,363,692.30722161211,4015.92419435079,653.568314346227,699.704050630018,645.797126938904
2009,3,365,626.655868598152,705.629861982434,657.307859016767
2010,3,365,607.931789665792,730.245237823657,669.549903045512
2011,0,365,NA
2012,1,366,680.997490589711
2013,0,365,NA
2014,2,365,610.33512033763,656.345272042888
2015,3,365,696.01870651306,656.739705714612,625.30284019619
2016,2,366,640.366487966237,664.217406182275
2017,3,365,742.28584464469,823.925858332383,658.628835405498
2018,2,365,784.273411657352,609.273411657352
