"year","counts","time_length","excesses","excesses"
1957,2,132,858.187885010267,767.187885010267
1958,2,365,942.002395346185,759.848294741645
1959,3,365,847.540549788981,785.046195962131,917.891867229383
1960,1,366,843.482263031824
1961,2,365,2597.94981179423,781.439146800502
1962,1,365,775.795526487995
1963,2,346,1085.62728193456,820.665564046994
1964,1,343,783.223515066318
1965,2,167,893.463900352435,758.096110014117
1966,1,332,853.033459619023
1967,3,365,863.489250730295,847.751796509638,840.070125976029
1968,1,330,770.053694266007
1969,4,365,1293.23725333638,796.819778715638,760.841907151819,1041.1729211817
1970,2,365,777.025094102886,1032.78396258697
1971,5,365,1454.17132428425,971.338998517167,920.675829816357,810.869282536786,797.485799019049
1972,2,366,782.491388160146,769.949825731295
1973,6,326,828.82153535175,885.743949841692,913.328414310724,1014.72268472005,830.826309218157,866.761406742966
1974,2,360,866.763107886362,809.187863579332
1975,2,365,770.702406752595,845.101060796168
1976,2,304,914.041280617765,770.126372439368
1977,1,363,918.866572022336
1978,1,362,795.160531618128
1979,1,152,799.20396830881
1980,4,366,785.725561765712,1310.08668871906,784.251169157066,826.116682800688
1981,2,346,779.26120202049,905.818291104555
1982,1,365,832.831641382457
1983,1,365,2436.92756929394
1984,4,366,951.429565415764,867.764913881601,770.415193338656,778.741188547964
1985,2,365,784.495494467891,831.51671039124
1986,2,365,769.254020759667,1063.83323827991
1987,2,365,772.594730238394,776.265655298278
1988,2,366,958.717463214326,1076.7394775864
1989,3,365,922.634082354283,794.468689403445,1411.53963727615
1990,3,365,1100.5522983917,820.746207368541,834.857077677655
1991,3,348,789.301789230493,932.328366166731,819.269077221398
1992,1,366,792.312877837345
1993,1,365,1041.6769704574
1994,1,365,783.470400365005
1995,2,360,830.118202694924,847.123873616973
1996,4,366,994.659974905897,855.924033306718,851.511235314247,758.488764685753
1997,2,365,772.152845899396,914.754077791719
1998,4,365,814.659404585377,835.98129348694,764.797194023041,1376.8498916391
1999,0,365,NA
2000,0,364,NA
2001,2,365,959.701380175659,822.875327934299
2002,3,360,1112.94468636517,782.704011105671,762.263153343609
2003,2,365,1896.2833352344,769.333865632485
2004,3,366,908.693509752481,789.037298962017,928.523668301586
2005,1,365,1061.85696361355
2006,1,365,1282.76160602258
2007,2,347,773.979070183671,892.678853461873
2008,2,360,830.920187784175,2141.89996771987
2009,4,365,878.405041633398,892.885251511349,837.315159119425,880.193110528117
2010,3,365,889.011634538611,1007.37720999202,845.967605794456
2011,1,200,834.130717463214
