"year","counts","time_length","excesses"
1930,0,112,NA
1931,2,365,1268.07243070606,1207.07243070606
1932,2,292,1197.34204606689,1253.32531082468
1933,1,338,1370.54824752249
1934,0,340,NA
1935,0,365,NA
1936,2,366,1299.80323942055,1112.76993270218
1937,4,365,1166.95095243527,1207.60031937949,1146.65278886734,1176.89357819094
1938,1,291,1181.51237595529
1939,2,337,1109.52098772122,1132.39728755509
1940,5,366,1195.37417233065,1194.66134367515,1225.80130033079,1167.73833694536,1169.52898596973
1941,1,356,1189.48630970106
1942,3,365,1392.61799931562,1114.95616961607,1297.38955251188
1943,3,271,1120.02028145738,1123.28918073641,1123.41006045398
1944,4,366,1216.20725447702,1177.93703661458,1114.16664765598,1165.75419185582
1945,1,365,1152.49640698072
1946,3,297,1120.54155849993,1136.33254436174,1198.03016042197
1947,4,345,1469.1811812957,1254.73525721455,1254.06729782138,1375.1190829246
1948,1,366,1146.58320976389
1949,5,365,1124.93966008897,1181.90601117828,1189.76651077906,1254.37162085092,1168.96908862781
1950,4,365,1209.19641838713,1168.42306376183,1218.18466978442,1183.51226189118
1951,2,365,1319.26998973423,1294.86551842135
1952,0,366,NA
1953,4,365,1315.90544085776,1161.49606478841,1266.02463784647,1508.40572601802
1954,1,242,1140.06354209066
1955,2,200,1257.50566407325,1197.66952449096
1956,2,366,1134.2066841565,1112.98893578191
1957,0,351,NA
1958,5,365,1174.82456940801,1203.04003650051,1320.63031823885,1114.36112695335,1295.91251283221
1959,1,365,1328.85753393407
1960,5,366,1259.849777575,1259.2125014258,1167.29428538839,1509.21763431048,1147.94684612752
1961,4,365,1301.89209535759,1240.64548876469,1149.85696361355,1280.47929736512
1962,3,365,1432.26325995209,1135.48180677541,1259.39021329987
1963,4,365,1199.71187407323,1181.4447359416,1251.49948671153,1707.75088399681
1964,1,366,1271.39215238964
1965,1,334,1141.15991787385
1966,4,320,1164.36415192549,1168.36578371367,1139.70547862303,1342.20877985988
1967,4,322,1162.63355601549,1206.97935036869,1143.45651902483,1138.34805900117
1968,5,366,1143.15729439945,1121.45205172356,1309.21069207944,1123.63843246954,1272.81477557436
1969,2,354,1145.28162427284,1135.73731036843
1970,1,349,1239.59179933804
1971,3,243,1238.89274566845,1124.49552644558,1149.08315016127
1972,12,348,1204.70507950373,1113.81425603016,1380.98307090412,1190.63665822019,1118.88543880159,1165.69064304066,1112.91175560809,1141.87368417235,1481.12079543142,1187.68974718231,1270.87559844573,1271.69959753322
1973,1,245,1121.15608207753
1974,2,299,1275.17273873992,1244.93970577539
1975,0,365,NA
1976,3,366,1442.19139956656,1261.8811452036,1136.62294777261
1977,6,357,1151.44295461646,1228.96240254619,1233.78159935798,1203.86734344702,1262.21113265655,1163.85867457511
1978,2,347,1704.11509068096,1449.79650963842
1979,4,359,1332.7521853389,1172.85621180177,1113.07665107791,1226.62461503365
1980,5,366,1179.89027033193,1215.25995209308,1118.86859815216,1340.76284358869,1284.82512258949
1981,2,359,1140.31137786495,1163.14805520703
1982,0,365,NA
1983,3,365,1110.97673092278,1149.30740276035,1242.81453176685
1984,1,366,1136.17497433558
1985,2,365,1176.72852743242,1217.09661229611
1986,1,365,1391.52355423748
1987,2,365,1345.03923805179,1478.53906695563
1988,1,366,1347.34150792746
1989,1,365,1131.59256302042
1990,1,365,1371.26824568038
1991,3,358,1784.46914565986,1626.09136534733,1182.28721341394
1992,2,366,1209.32086232463,1364.12180293426
1993,3,365,1214.22617158944,1115.4894604089,1125.20625676745
1994,3,365,1156.12417595379,1139.04231778259,1121.24900193909
1995,2,365,1194.39397741531,1221.09569978328
1996,4,366,1256.74050416334,1332.99692026919,1174.66453747006,1171.19065384436
1997,4,353,1522.38458513954,1180.08824659728,1192.35827535075,1183.34139386335
1998,1,365,1168.63374016197
1999,2,365,1118.55937036615,1149.34812364549
2000,2,366,1140.42808258241,1338.63225732862
2001,1,365,1243.84065244667
2002,4,365,1109.88319835748,1127.21797650279,1196.00878293601,1339.93076308886
2003,3,358,1168.43494736653,1190.46198055918,1127.33285999342
2004,1,366,1113.2718147599
2005,0,365,NA
2006,2,365,1204.07847610357,1335.19322459222
2007,5,365,1136.92574426828,1479.10642180906,1131.25105509296,1120.10881715524,1122.27740390099
2008,1,361,1406.39227274205
2009,3,365,1133.6629405726,1266.34025322231,1155.80962701038
2010,4,365,1204.11725789894,1198.74677768906,1138.53039808372,1162.48979126269
2011,3,365,1115.87327478043,1342.68883312422,1125.24580814418
2012,4,366,1179.23269077221,1265.9290521273,1867.5524124558,1307.50473366032
2013,2,365,1212.40070719744,1116.29884795255
2014,4,365,1201.08543401392,1152.26531310597,1112.728071176,1222.04631002623
2015,1,365,1228.78076879206
2016,5,366,1114.01448614121,1325.11440629634,1133.49948671153,1126.42249344131,1150.57636591765
2017,2,365,1185.24124558002,1156.58731607163
2018,6,365,1190.4023040949,1167.19584806661,1221.30226987567,1122.73799475305,1168.73799475305,1136.73799475305
