"","x"
"lambda.type","uniform"
"lambda.lower","0"
"lambda.upper","0.05"
"sigma.type","uniform"
"sigma.lower","0"
"sigma.upper","1000"
"xi0.type","uniform"
"xi0.lower","-3"
"xi0.upper","3"
"xi1.type","uniform"
"xi1.lower","-3"
"xi1.upper","3"
