"","x"
"lambda0.type","uniform"
"lambda0.lower","0"
"lambda0.upper","0.05"
"lambda1.type","uniform"
"lambda1.lower","-0.1"
"lambda1.upper","0.1"
"sigma.type","uniform"
"sigma.lower","0"
"sigma.upper","1000"
"xi.type","uniform"
"xi.lower","-3"
"xi.upper","3"
