"","x"
"lambda.type","uniform"
"lambda.lower","0"
"lambda.upper","0.05"
"sigma0.type","uniform"
"sigma0.lower","0"
"sigma0.upper","1000"
"sigma1.type","uniform"
"sigma1.lower","-200"
"sigma1.upper","200"
"xi.type","uniform"
"xi.lower","-3"
"xi.upper","3"
