"","x"
"lambda0.type","uniform"
"lambda0.lower","0"
"lambda0.upper","0.05"
"lambda1.type","uniform"
"lambda1.lower","-0.1"
"lambda1.upper","0.1"
"sigma.type","uniform"
"sigma.lower","0"
"sigma.upper","1000"
"xi0.type","uniform"
"xi0.lower","-3"
"xi0.upper","3"
"xi1.type","uniform"
"xi1.lower","-3"
"xi1.upper","3"
