"","x"
"lambda0.type","uniform"
"lambda0.lower","0"
"lambda0.upper","0.05"
"lambda1.type","uniform"
"lambda1.lower","-0.1"
"lambda1.upper","0.1"
"sigma0.type","uniform"
"sigma0.lower","0"
"sigma0.upper","1000"
"sigma1.type","uniform"
"sigma1.lower","-200"
"sigma1.upper","200"
"xi.type","uniform"
"xi.lower","-3"
"xi.upper","3"
